Time:                   Temperature(C):         Attitude(m):            Pressure(psi):          
2014:01:14:10:04:23     -051,47451              016747,71149            63,62487                
2014:01:14:10:04:24     -050,32768              016924,96462            64,36525                
2014:01:14:10:04:24     -048,54621              017062,95115            64,40056                
2014:01:14:10:04:24     -046,90773              017098,39140            64,40401                
2014:01:14:10:04:24     -046,79571              018538,27107            64,60122                
2014:01:14:10:04:25     -045,05541              018629,15180            -8057,29019             
2014:01:14:10:04:25     -043,08362              019350,86386            66,13575                
2014:01:14:10:04:25     -042,34696              019386,38931            66,69061                
2014:01:14:10:04:25     -040,03505              019424,76825            66,86700                
2014:01:14:10:04:26     -039,29211              020206,02294            67,87370                
2014:01:14:10:04:26     -037,30930              020352,67769            68,33342                
2014:01:14:10:04:26     -034,45076              020370,44680            68,74116                
2014:01:14:10:04:26     -034,15456              020405,57031            69,48882                
2014:01:14:10:04:27     -030,51542              020573,17673            69,66595                
2014:01:14:10:04:27     -029,58453              020582,02301            69,73458                
2014:01:14:10:04:27     -028,25729              020605,55207            70,35280                
2014:01:14:10:04:27     -027,98389              021547,22450            70,88406                
2014:01:14:10:04:28     -027,28050              021820,21543            71,13435                
2014:01:14:10:04:28     -027,05186              022123,49580            71,23556                
2014:01:14:10:04:28     -024,86811              022203,15524            8825,23969              
2014:01:14:10:04:28     -024,16556              022561,86210            72,28139                
2014:01:14:10:04:29     -021,15709              022969,53468            72,36851                
2014:01:14:10:04:29     -021,10606              022981,08937            72,43834                
2014:01:14:10:04:29     -020,37492              023455,05666            72,87315                
2014:01:14:10:04:29     -017,83687              023906,08690            8971,29069              
2014:01:14:10:04:30     -017,45654              024046,54417            73,23793                
2014:01:14:10:04:30     -016,54613              024056,48033            73,46608                
2014:01:14:10:04:30     -013,41628              024108,26638            73,52274                
2014:01:14:10:04:30     -013,28222              024331,91916            73,72861                
2014:01:14:10:04:31     -011,43866              024348,81051            74,02909                
2014:01:14:10:04:31     -009,21928              024569,32951            74,04546                
2014:01:14:10:04:31     -008,39873              024601,17919            74,35349                
2014:01:14:10:04:31     -008,21534              024918,74048            75,00562                
2014:01:14:10:04:32     -007,02845              025175,19796            9255,24818              
2014:01:14:10:04:32     -005,76149              025186,63947            75,31717                
2014:01:14:10:04:32     -005,17614              025772,97785            75,45234                
2014:01:14:10:04:32     -004,11294              025854,30412            75,45244                
2014:01:14:10:04:33     000,79717               025889,38686            75,52943                
2014:01:14:10:04:33     001,38579               026926,58631            -9423,75498             
2014:01:14:10:04:33     002,99585               027185,03562            76,64207                
2014:01:14:10:04:33     004,96832               027583,98996            76,66965                
2014:01:14:10:04:34     005,38940               027637,93730            76,76768                
2014:01:14:10:04:34     006,28644               028354,17474            76,98630                
2014:01:14:10:04:34     008,77747               028937,95663            77,52150                
2014:01:14:10:04:34     009,16028               029497,08166            77,64513                
2014:01:14:10:04:35     010,25116               029559,20597            77,66271                
2014:01:14:10:04:35     015,37233               029753,15519            77,71095                
2014:01:14:10:04:35     016,40046               029866,30614            78,49934                
2014:01:14:10:04:35     021,27850               029977,77614            79,13014                
2014:01:14:10:04:36     023,50627               030409,85931            79,72476                
